PRODUCT,Year,Amount
Aviation Gasoline,2010,125
Aviation Gasoline,2011,252
Aviation Gasoline,2012,"92,430 "
Aviation Gasoline,2013,"1,373"
Aviation Gasoline,2014r,"1,055"
Aviation Gasoline,2015p,668
Turbo Fuel,2010," 	2,016,714 "
Turbo Fuel,2011,"1,878,535 "
Turbo Fuel,2012,"1,764,652 "
Turbo Fuel,2013,"1,999,787"
Turbo Fuel,2014r,"2,280,886"
Turbo Fuel,2015p,"2,385,677"
E10-87,2010," 	2,876,269 "
E10-87,2011,"2,742,648 "
E10-87,2012,"2,690,130 "
E10-87,2013,"2,721,395"
E10-87,2014r,"2,405,350"
E10-87,2015p,"2,286,611"
E10-90,2010," 	1,417,433 "
E10-90,2011,"1,399,303 "
E10-90,2012,"1,447,601 "
E10-90,2013,"1,663,926"
E10-90,2014r,"1,571,146"
E10-90,2015p,"1,888,631"
Kerosene,2010," 	13,445 "
Kerosene,2011,"13,485 "
Kerosene,2012,"10,984 "
Kerosene,2013,"10,006"
Kerosene,2014r,"6,888"
Kerosene,2015p,"6,672"
Auto Diesel Oil,2010," 	3,545,285 "
Auto Diesel Oil,2011,"3,724,232 "
Auto Diesel Oil,2012,"3,584,494 "
Auto Diesel Oil,2013,"3,248,538"
Auto Diesel Oil,2014r,"3,085,075"
Auto Diesel Oil,2015p,"3,097,764"
Auto Diesel Oil Bunker,2010," 	177,700 "
Auto Diesel Oil Bunker,2011,"165,249 "
Auto Diesel Oil Bunker,2012,"157,482 "
Auto Diesel Oil Bunker,2013,"149,029"
Auto Diesel Oil Bunker,2014r,"126,468"
Auto Diesel Oil Bunker,2015p,"120,520"
Ultra Low Sulphur Diesel ,2010, 	-   
Ultra Low Sulphur Diesel ,2011, 	-   
Ultra Low Sulphur Diesel ,2012, 	-   
Ultra Low Sulphur Diesel ,2013,"43,252"
Ultra Low Sulphur Diesel ,2014r,"108,039"
Ultra Low Sulphur Diesel ,2015p,"185,528"
Heavy Fuel Oil,2010," 	1,690,825 "
Heavy Fuel Oil,2011,"1,469,560 "
Heavy Fuel Oil,2012,"1,247,541 "
Heavy Fuel Oil,2013,"1,221,458"
Heavy Fuel Oil,2014r,"16,925"
Heavy Fuel Oil,2015p,"13,180"
Fuel Oil (Bunker - C),2010," 	5,744,166 "
Fuel Oil (Bunker - C),2011,"6,557,422 "
Fuel Oil (Bunker - C),2012,"6,051,771 "
Fuel Oil (Bunker - C),2013,"5,950,846"
Fuel Oil (Bunker - C),2014r,"6,969,085"
Fuel Oil (Bunker - C),2015p,"7,705,624"
Fuel Oil (Low Van),2010," 	2,044,598 "
Fuel Oil (Low Van),2011,"2,078,058 "
Fuel Oil (Low Van),2012,"1,927,163 "
Fuel Oil (Low Van),2013,"1,946,371"
Fuel Oil (Low Van),2014r,"1,936,019"
Fuel Oil (Low Van),2015p,"1,341,410"
LPG,2010," 	939,215 "
LPG,2011,"974,360 "
LPG,2012,"953,077 "
LPG,2013,"896,968"
LPG,2014r,"799,748"
LPG,2015p,"821,691"
Lubricants,2010," 	55,816 "
Lubricants,2011,"44,805 "
Lubricants,2012,"31,224 "
Lubricants,2013,"17,836"
Lubricants,2014r,"4,110"
Lubricants,2015p,"6,413"
Asphalt,2010," 	74,533 "
Asphalt,2011,"136,272 "
Asphalt,2012,"136,891 "
Asphalt,2013,"111,261"
Asphalt,2014r,"111,225"
Asphalt,2015p,"173,394"
