Import Category,Import Type,Volume (barrels),Value (US$),Year
REFINERY,Crude Oil," 	8,373,980 "," 	627,666,214 ",2010
REFINERY,Refined Products," 	7,284,898 "," 	605,453,568 ",2010
REFINERY, Anhydrous Ethanol ," 	286,427 "," 	24,982,781 ",2010
MARKETING COMPANIES,Refined Products," 	1,926,806 "," 	176,436,969 ",2010
MARKETING COMPANIES,Lubricants," 	30,358 "," 	9,133,229 ",2010
BAUXITE COMPANIES,Bunker C," 	785,216 "," 	53,292,558 ",2010
BAUXITE COMPANIES,Low. Vanadium," 	2,146,150 "," 	147,879,915 ",2010
REFINERY,Crude Oil," 	8,863,213 "," 	900,971,471 ",2011
REFINERY,Refined Products," 	7,173,783 "," 	820,478,864 ",2011
REFINERY, Anhydrous Ethanol ," 	309,286 "," 	34,307,990 ",2011
MARKETING COMPANIES,Refined Products," 	1,631,313 "," 	186,326,997 ",2011
MARKETING COMPANIES,Lubricants," 	34,652 "," 	11,954,116 ",2011
BAUXITE COMPANIES,Bunker C," 	1,397,353 "," 	125,080,889 ",2011
BAUXITE COMPANIES,Low. Vanadium," 	2,114,338 "," 	197,417,264 ",2011
REFINERY,Crude Oil," 	8,816,874 "," 	899,236,488 ",2012
REFINERY,Refined Products," 	7,244,935 "," 	845,647,359 ",2012
REFINERY, Anhydrous Ethanol ," 	326,578 "," 	34,952,231 ",2012
MARKETING COMPANIES,Refined Products," 	1,241,599 "," 	157,574,256 ",2012
MARKETING COMPANIES,Lubricants," 	15,539 "," 	5,098,800 ",2012
BAUXITE COMPANIES,Bunker C," 	1,380,096 "," 	141,223,780 ",2012
BAUXITE COMPANIES,Low. Vanadium," 	1,280,221 "," 	129,740,701 ",2012
REFINERY,Crude Oil,8540809.00,881047247.00,2013
REFINERY,Refined Products,7326182.00,815416257.00,2013
REFINERY, Anhydrous Ethanol ,351310.00,41752251.00,2013
MARKETING COMPANIES,Refined Products,1085941.00,109994936.00,2013
MARKETING COMPANIES,Lubricants,15890.00,4586630.00,2013
BAUXITE COMPANIES,Bunker C,1429349.00,137362546.00,2013
BAUXITE COMPANIES,Low. Vanadium,2140766.00,197837189.00,2013
REFINERY,Crude Oil,6900027.00,642627771.00,2014
REFINERY,Refined Products,8253394.00,852160097.00,2014
REFINERY, Anhydrous Ethanol ,359283.00,38389384.00,2014
MARKETING COMPANIES,Refined Products,613957.00,58388082.00,2014
MARKETING COMPANIES,Lubricants,2800.00,999843.00,2014
BAUXITE COMPANIES,Bunker C,1534985.00,126057724.00,2014
BAUXITE COMPANIES,Low. Vanadium,1956648.00,163899837.00,2014
REFINERY,Crude Oil,8777533.00,414320042.00,2015
REFINERY,Refined Products,7226568.00,450608818.00,2015
REFINERY, Anhydrous Ethanol ,344348.00,25668192.00,2015
MARKETING COMPANIES,Refined Products,1103829.00,89588443.00,2015
MARKETING COMPANIES,Lubricants,148.00,39133.00,2015
BAUXITE COMPANIES,Bunker C,996799.00,41544902.00,2015
BAUXITE COMPANIES,Low. Vanadium,1997072.00,84358711.00,2015
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
